10.228.85.76 es1-anp-12mkrn17-p2 мкр. 12-й, д. 17
10.228.85.38 es1-anp-tersk190-p9 Терская, д. 190
10.228.85.90 es1-anp-astrahan77-p2 Астраханская, д. 77
10.228.85.98 es1-anp-12mkrn20-p5 мкр. 12-й, д. 20
10.228.85.80 es1-anp-12mkrn32 мкр. 12-й, д. 32
10.228.85.68 es1-anp-chehova4 Чехова, д. 4
10.228.85.61 es1-anp-12mkrn11-p2 мкр. 12-й, д. 11
10.228.85.81 es1-anp-12mkrn33 мкр. 12-й, д. 33
10.228.85.29 es1-anp-gorkogo64-p2 Горького, д. 64
10.228.85.10 es1-anp-krasno-zelenyh7-p2 Красно-зеленых, д. 7
10.228.85.122 es1-anp-lenina179-1 Ленина, д. 179/к.1
10.228.85.141 es1-anp-lenina189-p1 Ленина, д. 189
10.228.85.48 es1-anp-stahan9-p2 Стахановская, д. 9
10.228.85.83 es1-anp-12mkrn36 мкр. 12-й, д. 36
10.228.85.31 es1-anp-gorkogo68-p2 Горького, д. 68
10.228.85.35 es1-anp-krymskaya185 Крымская, д. 185
10.228.85.133 es1-anp-lenina181-p2 Ленина, д. 181
10.228.85.47 es1-anp-stahan13-p5 Стахановская, д. 13
10.228.85.5 es1-anp-shevch249-p4 Шевченко, д. 249
10.228.85.128 es1-anp-lenina167-p2 Ленина, д. 167
10.228.85.92 es1-anp-astrahan77-p9 Астраханская, д. 77
10.228.85.96 es1-anp-12mkrn19-p5 мкр. 12-й, д. 19
10.228.85.26 es1-anp-krymskaya250 Крымская, д. 250
10.228.85.129 es1-anp-lenina173-5-p2 Ленина, д. 173/к.5
10.228.85.33 es1-anp-gorkogo70-p7 Горького, д. 70
10.228.85.132 es1-anp-lenina163-p6 Ленина, д. 163
10.228.85.139 es1-anp-lenina187-p1 Ленина, д. 187
10.228.85.70 es1-anp-chehova4g Чехова, д. 4/к.Г
10.228.85.45 es1-anp-12mkrn12-p5 мкр. 12-й, д. 12
10.228.85.77 es1-anp-12mkrn17-p5 мкр. 12-й, д. 17
10.228.85.137 es1-anp-lenina175-p8 Ленина, д. 175
10.228.85.49 es1-anp-stahan9-p5 Стахановская, д. 9
10.228.86.43 sm1-anp-krasno-zelenyh6 Красно-зеленых, д. 6
10.228.86.44 sm1-anp-lenina179-3 Ленина, д. 179/к.3
10.228.86.42 sm1-anp-12mkrn37 мкр. 12-й, д. 37
10.228.86.45 sm1-anp-lenina131 Ленина, д. 131
10.228.85.175 es1-anp-lenina131 Ленина, д. 131
10.228.85.224 es1-anp-12mkrn6-p2 мкр. 12-й, д. 6
10.228.85.86 es1-anp-12mkrn22a мкр. 12-й, д. 22/к.А
10.228.85.93 es1-anp-12mkrn18-p2 мкр. 12-й, д. 18
10.228.85.110 es1-anp-vlad136-4 Владимирская, д. 136/20/стр. 4
10.228.85.216 es2-anp-vlad136-2 Владимирская, д. 136/20/стр. 2
10.228.85.112 es1-anp-vlad136-1 Владимирская, д. 136/20/к.1
10.228.85.113 es1-anp-vlad136-3 Владимирская, д. 136/20/стр. 3
10.228.85.114 es1-anp-vlad136-6 Владимирская, д. 136/20/стр. 6
10.228.88.111 d1-anp-vlad136-7 Владимирская, д. 136/20/стр. 7
10.228.85.116 es1-anp-vlad136-8 Владимирская, д. 136/20/стр. 8
10.228.85.117 es1-anp-vlad134-p2 Владимирская, д. 134/21
10.228.85.118 es1-anp-vlad134-p5 Владимирская, д. 134/21
10.228.85.119 es1-anp-vlad134-p8 Владимирская, д. 134/21
10.228.85.222 es2-anp-vlad134-p2 Владимирская, д. 134/21
10.228.85.223 es2-anp-vlad134-p5 Владимирская, д. 134/21
10.228.85.252 es1-anp-vlad143-1-p1 Владимирская, д. 143/к.1
10.228.85.63 es1-anp-vlad143-4-p1 Владимирская, д. 143/к.4
10.228.85.162 es2-anp-gorkogo70-p7 Горького, д. 70
10.228.85.215 es2-anp-gorkogo70-p2 Горького, д. 70
10.228.85.160 es2-anp-evskina5-2-p2 Евскина, д. 5/к.2
10.228.85.161 es2-anp-evskina5-2-p4 Евскина, д. 5/к.2
10.228.85.187 es2-anp-evskina5-2-p7 Евскина, д. 5/к.2
10.228.85.217 es2-anp-evskina5-1-p2 Евскина, д. 5/к.1
10.228.88.7 es2-anp-evskina14a-p3 Евскина, д. 14/к.А
10.228.85.241 es2-anp-lenina163-p6 Ленина, д. 163
10.228.85.166 es1-anp-lermon119 Лермонтова, д. 119
10.228.85.221 es3-anp-lermon119 Лермонтова, д. 119
10.228.85.183 es1-anp-lermon120-p2 Лермонтова, д. 120
10.228.85.184 es1-anp-lermon120-p3 Лермонтова, д. 120
10.228.88.6 es2-anp-lermon120-p3 Лермонтова, д. 120
10.228.85.185 es1-anp-lermon121 Лермонтова, д. 121
10.228.85.186 es2-anp-lermon121 Лермонтова, д. 121
10.228.85.174 d1-anp-lermon121 Лермонтова, д. 121
10.228.85.188 es1-anp-krylova18 Крылова, д. 18
10.228.85.189 es1-anp-krylova16 Крылова, д. 16
10.228.85.190 es1-anp-krylova14 Крылова, д. 14
10.228.85.191 es1-anp-krylova12-p1 Крылова, д. 12
10.228.85.192 es1-anp-krylova10 Крылова, д. 10
10.228.85.193 es1-anp-krylova8 Крылова, д. 8
10.228.85.196 es1-anp-krylova83-p1 Крылова, д. 83
10.228.85.197 es1-anp-krylova83-p6 Крылова, д. 83
10.228.85.199 es1-anp-krylova85a-p2 Крылова, д. 85/к.А
10.228.85.200 es1-anp-lermon82 Лермонтова, д. 82
10.228.85.202 es1-anp-lermon80-p3 Лермонтова, д. 80
