10.228.113.54 es1-mkp-pervomay224-p3 Первомайская, д. 224
10.228.113.106 es1-mkp-pioner374-p5 Пионерская, д. 374
10.228.113.109 es1-mkp-pioner374-a-p2 Пионерская, д. 374/к.а
10.228.113.110 es1-mkp-pioner374-a-p5 Пионерская, д. 374/к.а
10.228.113.111 es1-mkp-pioner374-b-p3 Пионерская, д. 374/к.б
10.228.113.112 es1-mkp-pioner374-v-p1 Пионерская, д. 374/к.в
10.228.113.164 qs1-mkp-pioner377-a-p2 Пионерская, д. 377/к.а
10.228.113.134 qs1-mkp-pioner383-2-p2 Пионерская, д. 383/к.2
10.228.113.127 qs1-mkp-pioner389-2-p1 Пионерская, д. 389/к.2
10.228.113.129 qs1-mkp-pioner391-p2 Пионерская, д. 391
10.228.113.27 es1-mkp-pioner407-p4 Пионерская, д. 407
10.228.113.60 es1-mkp-pioner416-p2 Пионерская, д. 416
10.228.113.91 es1-mkp-adigei16-p2 Адыгейская, д. 16
10.228.113.43 es1-mkp-pushkina282-p1 Пушкина, д. 282
10.228.113.160 qs1-mkp-12mart130-2-p1 12 Марта, д. 130/к.2
10.228.113.67 es1-mkp-deputat20-p3 Депутатская, д. 20
10.228.113.49 es1-mkp-krasnokt7-p3 Краснооктябрьская, д. 7
10.228.113.121 es1-mkp-lumumb124-p1 Патриса Лумумбы, д. 124
10.228.113.128 qs1-mkp-pioner389-2-p3 Пионерская, д. 389/к.2
10.228.113.5 es1-mkp-shosseinaja20-p2 Шоссейная, д. 20
10.228.113.12 es1-mkp-shosseinaja16-p2 Шоссейная, д. 16
10.228.113.138 es1-mkp-shosseinaja14-p2 Шоссейная, д. 14
10.228.113.139 es1-mkp-shosseinaja14-p4 Шоссейная, д. 14
10.228.113.141 es1-mkp-shosseinaja4-p2 Шоссейная, д. 4
10.228.113.142 es1-mkp-shosseinaja4-p4 Шоссейная, д. 4
10.228.113.143 es1-mkp-shosseinaja6-p2 Шоссейная, д. 6
10.228.113.144 es1-mkp-shosseinaja6-p3 Шоссейная, д. 6
10.228.113.145 es1-mkp-shosseinaja10-p1 Шоссейная, д. 10
10.228.113.146 es1-mkp-shosseinaja10-p5 Шоссейная, д. 10
10.228.113.147 es1-mkp-shosseinaja8-p2 Шоссейная, д. 8
10.228.113.148 es1-mkp-shosseinaja8-p3 Шоссейная, д. 8
10.228.113.149 es1-mkp-batareynaja2-b-p1 Батарейная, д. 2/к.б
10.228.113.150 es1-mkp-batareynaja2-b-p5 Батарейная, д. 2/к.б
10.228.113.151 es1-mkp-batareynaja2-a-p1 Батарейная, д. 2/к.а
10.228.113.152 es1-mkp-batareynaja2-a-p5 Батарейная, д. 2/к.а
10.228.113.28 es1-mkp-pioner405-p2 Пионерская, д. 405
10.228.113.29 es1-mkp-pioner405-p5 Пионерская, д. 405
10.228.113.154 es1-mkp-mihailova6-a-p2 Михайлова, д. 6/к.а
10.228.113.156 es1-mkp-mihailova8-p2 Михайлова, д. 8
10.228.113.157 es1-mkp-mihailova2-a-p2 Михайлова, д. 2/к.а
10.228.113.158 es1-mkp-mihailova2-p2 Михайлова, д. 2
10.228.113.159 es1-mkp-mihailova1-a-p2 Михайлова, д. 1/к.а
10.228.115.7 qs1-mkp-yunnatov2-b-p2 Юннатов, д. 2/к.б
10.228.115.19 qs1-mkp-12mart144-1-p2 12 Марта, д. 144/к.1
10.228.115.18 qs1-mkp-12mart144-2-p2 12 Марта, д. 144/к.2
10.228.115.12 qs1-mkp-12mart150-3-p2 12 Марта, д. 150/к.3
10.228.115.9 qs1-mkp-12mart152-p1 12 Марта, д. 152
10.228.115.20 qs1-mkp-12mart144-1-p5 12 Марта, д. 144/к.1
10.228.115.17 qs1-mkp-12mart146-p6 12 Марта, д. 146
10.228.115.11 qs1-mkp-12mart150-1-p5 12 Марта, д. 150/к.1
10.228.115.8 qm1-mkp-ats1 Жуковского, д. 31
10.228.115.53 d1-mkp-3inter445-p1 3 Интернационала, д. 445
10.228.115.72 d1-mkp-hakurate636-p1 Хакурате, д. 636
10.228.115.38 d1-mkp-deputat2-p3 Депутатская, д. 2
10.228.115.39 d1-mkp-deputat2-p6 Депутатская, д. 2
10.228.115.40 d1-mkp-deputat6-p2 Депутатская, д. 6
10.228.115.41 d1-mkp-deputat6-p7 Депутатская, д. 6
10.228.115.42 d1-mkp-deputat8-p3 Депутатская, д. 8
10.228.115.29 d1-mkp-dimit3-p2 Димитрова, д. 3
10.228.115.28 d1-mkp-dimit5-p1 Димитрова, д. 5
10.228.115.25 d1-mkp-dimit9-p4 Димитрова, д. 9
10.228.115.26 d1-mkp-dimit11-1-p2 Димитрова, д. 11/к.1
10.228.115.21 d1-mkp-dimit13-p2 Димитрова, д. 13
10.228.115.78 d1-mkp-dimit14-p1 Димитрова, д. 14
10.228.115.79 d1-mkp-dimit16-p1 Димитрова, д. 16
10.228.115.81 d1-mkp-dimit18-p1 Димитрова, д. 18
10.228.115.82 d1-mkp-dimit20-p1 Димитрова, д. 20
10.228.115.44 d1-mkp-deputat12-p2 Депутатская, д. 12
10.228.115.45 d1-mkp-deputat12-p5 Депутатская, д. 12
10.228.115.36 d1-mkp-deputat14-p2 Депутатская, д. 14
10.228.115.37 d1-mkp-deputat14-p6 Депутатская, д. 14
10.228.115.22 d1-mkp-dimit17-p1 Димитрова, д. 17
10.228.115.23 d1-mkp-dimit19-p3 Димитрова, д. 19
10.228.115.34 d1-mkp-chkalova80-a-p1 Чкалова, д. 80/к.а
10.228.115.35 d1-mkp-chkalova80-a-p7 Чкалова, д. 80/к.а
10.228.115.33 d1-mkp-chkalova82-p3 Чкалова, д. 82
10.228.115.31 d1-mkp-chkalova84-p2 Чкалова, д. 84
10.228.115.32 d1-mkp-chkalova84-p6 Чкалова, д. 84
10.228.115.62 d1-mkp-yunnatov24-p1 Юннатов, д. 24
10.228.115.65 d1-mkp-yunnatov22-p2 Юннатов, д. 22
10.228.115.75 d1-mkp-yunnatov5-p2 Юннатов, д. 5
10.228.115.76 d1-mkp-yunnatov3-p1 Юннатов, д. 3
10.228.115.46 d1-mkp-gertsena98-p2 Герцена, д. 98
10.228.115.47 d1-mkp-gertsena98-p5 Герцена, д. 98
10.228.115.51 d1-mkp-gertsena100-p1 Герцена, д. 100
10.228.115.52 d1-mkp-gertsena100-p6 Герцена, д. 100
10.228.115.48 d1-mkp-gertsena104-p2 Герцена, д. 104
10.228.115.49 d1-mkp-gertsena104-p5 Герцена, д. 104
10.228.115.50 d1-mkp-gertsena110-p3 Герцена, д. 110
10.228.115.61 d1-mkp-svobod413-a-p2 Свободы, д. 413/к.а
10.228.115.54 d1-mkp-svobod413-b-p2 Свободы, д. 413/к.б
10.228.115.71 d1-mkp-svobod415-a-p4 Свободы, д. 415/к.а
10.228.115.57 d1-mkp-svobod417-a-p1 Свободы, д. 417/к.а
10.228.115.69 d1-mkp-svobod419-a-p2 Свободы, д. 419/к.а
10.228.115.70 d1-mkp-svobod419-a-p5 Свободы, д. 419/к.а
10.228.115.56 d1-mkp-svobod417-b-p1 Свободы, д. 417/к.б
10.228.115.66 d1-mkp-yubiley2-a-p1 Юбилейная, д. 2/к.а
10.228.115.67 d1-mkp-yubiley2-a-p5 Юбилейная, д. 2/к.а
10.228.115.84 d1-mkp-dimit14-a-p1 Димитрова, д. 14/к.а
10.228.115.111 d1-mkp-gogolya91-p2 Гоголя, д. 91
10.228.115.115 qs1-mkp-krasnokt47-p2 Краснооктябрьская, д. 47
10.228.115.116 d1-mkp-krasnokt47-p4 Краснооктябрьская, д. 47
10.228.115.103 d1-mkp-krasnokt54-p2 Краснооктябрьская, д. 54
10.228.115.104 d1-mkp-krasnokt52-p2 Краснооктябрьская, д. 52
10.228.115.105 d1-mkp-krasnokt53-p1 Краснооктябрьская, д. 53
10.228.115.119 d1-mkp-veteranov232-p2 Ветеранов, д. 232
10.228.115.117 d1-mkp-veteranov241-p3 Ветеранов, д. 241
10.228.115.113 d1-mkp-kurgan310-p3 Курганная, д. 310
10.228.115.102 d1-mkp-nekrasov264-p1 Некрасова, д. 264
10.228.115.95 d1-mkp-hakurate222-p1 Хакурате, д. 222
10.228.115.93 qs1-mkp-hakurate224 Хакурате, д. 224
10.228.115.99 d1-mkp-hakurate236-a-p2 Хакурате, д. 236/к.а
10.228.115.97 qs1-mkp-hakurate236-b-p1 Хакурате, д. 236/к.б
10.228.115.100 qs1-mkp-hakurate235-p1 Хакурате, д. 235
10.228.115.91 d1-mkp-krasnokt65-p3 Краснооктябрьская, д. 65
10.228.115.96 qs1-mkp-lenina108-p3 Ленина, д. 108
10.228.115.90 d1-mkp-privokzal175-p1 Привокзальная, д. 175
10.228.115.87 d1-mkp-lenina137-p1 Ленина, д. 137
10.228.115.107 d1-mkp-hakurate229-p2 Хакурате, д. 229
10.228.115.108 d1-mkp-hakurate229-p5 Хакурате, д. 229
10.228.115.109 qs1-mkp-krasnokt57-p2 Краснооктябрьская, д. 57
10.228.115.110 d1-mkp-nekrasov287-p1 Некрасова, д. 287
10.228.115.114 d1-mkp-krasnokt44-p2 Краснооктябрьская, д. 44
10.228.115.120 d1-mkp-lenina80-p1 Ленина, д. 80
10.228.115.98 d1-mkp-hakurate236-p1 Хакурате, д. 236
10.228.115.59 d1-mkp-dimit3-p5 Димитрова, д. 3
10.228.115.27 d1-mkp-dimit11-1-p7 Димитрова, д. 11/к.1
10.228.115.24 d1-mkp-dimit19-p6 Димитрова, д. 19
10.228.115.73 d1-mkp-hakurate636-p4 Хакурате, д. 636
